3850065-1,Parisian Guy,2018,410,40
4075-1,Tree 2,2001,273,13
4147-1,Freestyle Elefant Villa,1996,399,191
41501-1,Vulk,2014,581,69
65182-1,Slammer Stadium,2003,461,25
6785-1,Creative Cakes,2012,504,56
76104-1,The Hulkbuster Smash-Up,2018,493,378
8631-1,Mission 1: Jetpack Pursuit,2008,302,87
8684-9,Mime - Complete Set,2010,537,7
891508-1,Anacondrai Hideout,2015,435,24
9742-1,Photosynthesis Student Set,2008,517,74
2660-1,Zoo Nursery,1991,632,5
31075-1,Outback Adventures,2018,672,225
4067-1,Buggy,2001,273,15
45498-1,Medium Storage,2017,528,16
4924-15,Advent Calendar 2004 Creator (Day 14) Helicopter,2004,223,13
5071-1,"Wheel Sets, Large, Red",1987,456,2
66345-1,City Super Pack 4 in 1 (3177 7241 7634 7638),2010,52,0
71002-15,Constable - Complete Set,2013,547,6
75524-1,Chirrut Îmwe,2017,158,87
8712-1,Action Figures,1988,19,14
9753-1,TECHNIC Control Center [Dacta Kit],1993,1,14
2023-1,Square Rattle,1983,663,1
3138-1,Fashion Wear for Ladies,1999,668,0
40061-1,Igloo,2013,409,40
40216-1,Monthly Mini Build September 2016 - School Bus,2016,409,65
4213-1,Super Set 200,1998,470,519
4521221-1,Gold chrome plated C-3PO,2007,501,3
4774-1,Scorpion Orb Launcher,2004,306,228
5010-1,"Building Plate 16 x 32, Green",1990,443,1
6145-1,Crystal Crawler,1996,308,96
71011-17,LEGO Minifigures - Series 15 - All Sets,2016,554,0
853682-1,Macy Key Chain,2017,503,1
8565-1,Kohrak,2002,328,40
9171-1,World People,1994,516,3
970112-1,Small Lawn Tire & Hub (4 tires 4 hubs),2002,524,8
K4415-1,X-Pod Creator Collection,2006,478,4
1610-1,Police Car,1991,80,23
2339-1,Basic Box,1996,505,49
30151-1,Mining Dozer,2012,56,32
3203-1,Dressing Table,1997,668,23
41305-1,Emma's Photo Studio,2017,494,95
4514-1,Cargo Crane,2003,239,176
45507-1,EV3 Touch Sensor,2013,262,1
561510-1,Trick Or Treat,2015,494,19
5681-1,Police Station,2011,632,60
60109-1,Fire Boat,2016,58,413
6567-1,Speed Splash,1998,87,28
6685-1,Fire Copter 1,1982,74,98
75948-1,Hogwarts Clock Tower,2019,246,933
75970-1,Tracer vs. Widowmaker,2019,669,129
853695-1,Zane Key Chain,2017,503,0
MS1040-1,Accelerometer Sensor for Mindstorms NXT,2007,259,0
1955-2,Plush Red Bunny / Rabbit Storage Bag,1984,504,0
3647-1,School Room,1989,390,44
4608-1,Bank Breakout,2001,281,68
4996-1,Beach House,2008,672,522
5005516-1,Brick Lunch Bag Orange,2018,501,0
6470-1,Mini Dump Truck,2000,97,25
7414-1,Elephant Caravan,2003,300,104
7692-1,MX-71 Recon Dropship,2007,137,435
K8900-1,Piraka Collection (8900 8901 8902 8903 8904 8905),2006,340,6
10257-1,Carousel,2017,673,2668
10830-1,Minnie's Cafe,2016,641,27
1152-1,Electric Wire,1977,456,2
351-1,Loader Hopper with Truck,1971,416,170
41382-1,Friends Advent Calendar,2019,216,0
4428-10,"Advent Calendar 2012, City (Day  9) Mechanic with Wrench",2012,217,5
4687-1,Tractor-Trailer,2004,650,9
5005251-1,Penguin Suit Girl,2018,535,5
5874-1,Nursery,1997,321,67
610-1,Vintage Car,1973,423,39
675-1,Snack Bar,1979,75,64
6932-1,Stardefender 200,1987,132,251
6965-1,TIE Interceptor - Mini (Kabaya Box),2004,159,32
70631-1,Garmadon's Volcano Lair,2018,616,520
710-1,Wrecker with Car,1973,423,91
7110-1,Landspeeder,1999,169,49
851353-1,Anacondrai Kapau Key Chain,2015,503,0
9228-1,Farm Animals,2007,516,52
9387-1,Wheels Set,2011,507,286
9677-1,X-wing Starfighter & Yavin 4,2012,177,77
BauMit-1,BAU MIT!,2009,301,1
K3354-1,Complete Thomas Collection,2006,631,0
1216-1,Semaphores with Feet,1982,456,8
1749-1,Paravane,1996,308,16
3186-1,Emma's  Horse Trailer,2012,494,233
3316-1,"Advent Calender 2012, Friends",2012,216,214
4659018-1,Master Builder Academy: Kits 2-6 Subscription,2011,432,5
4870-1,Rahaga Kualus,2005,342,28
5000672-1,The LEGO Ideas Book - Unlock Your Imagination,2011,497,0
6512-1,Landscape Loader,1992,72,37
66236-1,Build & Play Value Pack,2008,505,0
6696-1,Exxon Fuel Tanker,1984,76,106
6774-1,Alpha Team ATV,2001,304,134
852113-1,Millennium Falcon Bag Charm,2007,503,0
8833-12,DJ - Complete Set,2012,543,7
939-1,"Flags, Trees and Road Signs",1972,473,19
9780756686956-1,DK Readers Level 2: Star Wars: Attack of the Clones,2013,497,0
277-1,Fireplace,1977,405,86
40193-1,Ferrari 512 S,2014,598,50
40223-1,Snowglobe,2016,227,215
4031-1,Fire Rescue,1991,363,363
40334-1,Avengers Tower,2019,487,211
4065-1,Actor 3,2001,273,4
41024-1,Parrot's Perch,2013,496,32
4175-1,Adventures with Max & Tina,2001,674,219
5577-1,Basic Bricks - Large,2008,505,65
60190-1,Arctic Ice Glider,2018,65,50
6299-12,Advent Calendar 2009 Pirates (Day 11) - Castaway,2009,224,7
6673-1,Solo Trainer,1990,68,74
70139-1,Sky Launch,2014,572,106
1661-2,Basic Building Set in Bucket,1989,467,418
2053-1,Rock 'n' Roll Pull-Toy,1980,504,5
2388-1,Basic Set (Harbour),1987,505,48
2807-1,Big Wheeler,1999,632,6
3567-1,NBA Collectors #8,2003,459,15
45003-1,LEGO Soft Bricks Set,2013,526,84
5004869-1,Glorp Corp,2015,586,3
5865-1,Mini Dumper,2010,672,60
60200-1,Capital City,2018,63,1210
6299-20,Advent Calendar 2009 Pirates (Day 19) - Pirate,2009,224,4
6427-1,Road Signs,1999,102,43
66437-1,"Hero Factory Super Pack 2 in 1 (6216, 6293)",2012,400,2
6938-1,Scorpion Detector,1996,131,196
70324-1,Merlok's Library 2.0,2016,605,288
71000-4,Heroic Knight - Complete Set,2013,544,10
71000-9,Fortune Teller - Complete Set,2013,544,7
71005-1,Homer Simpson,2014,550,6
7424-1,Black Cruiser,2003,300,28
7801-1,Red Racer Polybag,2009,120,41
9781465451927-1,DK Readers Level 4: Ninjago: Team Ninja,2016,497,0
COWS-2,"Cities of Wonders - Singapore: Kaya Toast, Eggs & Kopi Set",2017,619,92
10029-1,Lunar Lander,2003,387,468
139A-1,Electronic Control Unit (Forward - Stop),1969,243,13
1490-1,Town Bank,1988,85,195
2431-1,Big Chief's Canoe,1998,665,3
3140-1,Dancing Circle Dress for Girls,1999,668,2
40320-1,Plants from plants,2018,598,29
4428-15,"Advent Calendar 2012, City (Day 14) Box with Burning Logs",2012,217,5
5483-1,"Ready, Steady Build, and Race",2006,37,692
5518-1,Creative Building,2007,505,74
6481-1,Construction Crew,1989,72,170
6541-1,Intercoastal Seaport,1991,77,550
66431-1,"Star Wars Super Pack 3 in 1 (7914, 9488, 9491)",2012,158,3
70837-1,Shimmer & Shine Sparkle Spa!,2019,670,694
75136-1,Droid Escape Pod,2016,169,197
7569-1,Desert Attack,2010,271,57
8142-2,Ferrari 248 F1 1:24 (Alice version),2007,114,166
8571-1,Kopaka Nuva,2002,354,42
9780545645256-1,Friends: Andrea's Wish,2014,497,12
Lille-1,"LEGO Store Grand Opening Exclusive Set, Euralille, Lille, France",2013,408,16
10747-1,Andrea and Stephanie's Beach Holiday,2017,595,143
21043-1,San Francisco,2019,253,565
4042-1,"Jens, McDonald's #2",2002,598,4
41006-1,Downtown Bakery,2013,494,269
41594-1,Captain Armando Salazar,2017,610,118
42000-1,Grand Prix Racer,2013,12,1141
4547551-1,Darth Vader 10 Year Anniversary Promotional Minifigure,2009,158,7
4775-1,Knight and Squire,2004,647,20
5373-1,Knight & Catapult,2008,193,24
70902-1,Catwoman Catcycle Chase,2017,484,139
71229-1,DC Comics Team Pack,2016,604,92
76112-1,App-Controlled Batmobile,2018,484,331
8118-1,Hybrid Rescue Tank,2008,389,347
8771-1,Jayko (European version without Cards),2004,198,45
COMICON057-1,Apocalypseburg Unikitty - San Diego Comic-Con 2018 Exclusive,2018,670,16
10556-1,Creative Chest,2013,505,106
1380-1,Werewolf Ambush,2002,273,114
1498-1,Spy-Bot,1987,130,63
1626-1,Angel,1989,227,33
30475-1,Off Roader,2017,22,33
4059-1,Director,2001,273,4
42028-1,Bulldozer,2014,7,614
5004941-1,Collectible Minifigures - Classic,2017,535,18
5588-1,Giant Box,2009,505,200
6943-1,Zo Weevil,1999,134,20
7907-9,Advent Calendar 2007 City (Day  8) Luggage Cart,2007,220,9
8078-1,Portal of Atlantis,2010,315,1009
8684-2,Spartan Warrior - Complete Set,2010,537,8
8908-1,Monster Launcher,2009,439,13
970633-1,1 x 4 Beams,2002,525,30
9781405279031-1,Ninjago: Spot The Samurai - Droid,2015,497,32
